Category,Top Text,Headline,Short Description
0,"""Archizines + Arch-Art! Books"" Comes To Storefront For Art And Architecture (PHOTOS) The double exhibition ""Archizines + Arch-Art! Books"" will show that even if print is not the norm, its importance and influence","""Archizines + Arch-Art! Books"" Comes To Storefront For Art And Architecture (PHOTOS)","The double exhibition ""Archizines + Arch-Art! Books"" will show that even if print is not the norm, its importance and influence"
0,"Artist Susan Sweet Talks About Painting And Living In Rural Nova Scotia Perhaps it was inevitable that I would eventually end up interviewing family - as I am not the lone artist in our bloodline. So, as a photography and arts blogger, it made sense to corner my aunt, painter Susan Sweet, and try to squeeze a little more than an artist statement out of her. Here is my attempt.",Artist Susan Sweet Talks About Painting And Living In Rural Nova Scotia,"Perhaps it was inevitable that I would eventually end up interviewing family - as I am not the lone artist in our bloodline. So, as a photography and arts blogger, it made sense to corner my aunt, painter Susan Sweet, and try to squeeze a little more than an artist statement out of her. Here is my attempt."
0,"Steve McQueen At Art Institute Of Chicago: New Exhibition By 'Power 100' Artist And Filmmaker (PHOTOS) Steve McQueen. Bear, 1993. Photo courtesy of the artist, Marian Goodman Gallery, New York /Paris, and Thomas Dane Gallery",Steve McQueen At Art Institute Of Chicago: New Exhibition By 'Power 100' Artist And Filmmaker (PHOTOS),"Steve McQueen. Bear, 1993. Photo courtesy of the artist, Marian Goodman Gallery, New York /Paris, and Thomas Dane Gallery"
1,Eight Great Tech Brands Losing Money: 24/7 Wall St. It is a trend in the consumer electronics business — manufacturers rise to become industry leaders only to be outshone by,Eight Great Tech Brands Losing Money: 24/7 Wall St.,It is a trend in the consumer electronics business — manufacturers rise to become industry leaders only to be outshone by
1,"9 CEOs With The Worst Reputations: 24/7 Wall St. These are the nine CEOs with the worst reputations. Some CEOs, however, are not popular with employees. At nine major companies",9 CEOs With The Worst Reputations: 24/7 Wall St.,"These are the nine CEOs with the worst reputations. Some CEOs, however, are not popular with employees. At nine major companies"
1,"If You Want To Get Rich, Work For These Companies These are the 15 highest-paying companies in America, according to 24/7 Wall St.: Many of the highest-paying companies in","If You Want To Get Rich, Work For These Companies","These are the 15 highest-paying companies in America, according to 24/7 Wall St.: Many of the highest-paying companies in"
2,"Trump Impeachment Hearings Gives Late Night Plenty To Laugh About Trevor Noah, Jimmy Fallon, Samantha Bee, Seth Meyers, Stephen Colbert, James Corden, Jimmy Kimmel and Conan O'Brien all chimed in.",Trump Impeachment Hearings Gives Late Night Plenty To Laugh About,"Trevor Noah, Jimmy Fallon, Samantha Bee, Seth Meyers, Stephen Colbert, James Corden, Jimmy Kimmel and Conan O'Brien all chimed in."
2,"End Of Government Shutdown Is Horribly Timed For Comedy Shows Stephen Colbert, Seth Meyers, Trevor Noah, Jimmy Kimmel, Jimmy Fallon and James Corden may have more to say next week.",End Of Government Shutdown Is Horribly Timed For Comedy Shows,"Stephen Colbert, Seth Meyers, Trevor Noah, Jimmy Kimmel, Jimmy Fallon and James Corden may have more to say next week."
2,"Late Night Hosts Find The Funny In Latest Donald Trump Impeachment Inquiry Twist Jimmy Kimmel, Trevor Noah, James Corden, Stephen Colbert and Seth Meyers all riffed on new developments in the investigation.",Late Night Hosts Find The Funny In Latest Donald Trump Impeachment Inquiry Twist,"Jimmy Kimmel, Trevor Noah, James Corden, Stephen Colbert and Seth Meyers all riffed on new developments in the investigation."
3,Police Arrest Mom Of Man In Wheelchair Who Was Fatally Shot She allegedly beat the woman she suspected called 911 about her son.,Police Arrest Mom Of Man In Wheelchair Who Was Fatally Shot,She allegedly beat the woman she suspected called 911 about her son.
3,"Florida Gunman In Full Body Armor Arrested After Killing 4: Police Among the victims was an infant who was still in their dead mother's arms when police found them, according to Polk County authorities.",Florida Gunman In Full Body Armor Arrested After Killing 4: Police,"Among the victims was an infant who was still in their dead mother's arms when police found them, according to Polk County authorities."
3,Suspect In Murder Of Louisiana Cop Arrested After Manhunt The suspect already had an arrest warrant on a charge of attempted second-degree murder.,Suspect In Murder Of Louisiana Cop Arrested After Manhunt,The suspect already had an arrest warrant on a charge of attempted second-degree murder.
4,What K-12 Systems Can Learn from Best Education College Rankings Student success stems from teacher capability. The educators who oversee today's classrooms directly determine how much their students learn.,What K-12 Systems Can Learn from Best Education College Rankings,Student success stems from teacher capability. The educators who oversee today's classrooms directly determine how much their students learn.
4,"Universities Are Trying To Teach Faculty How To Spot Microaggressions Student activists demanded colleges make campuses more inclusive, and many universities are trying to do just that.",Universities Are Trying To Teach Faculty How To Spot Microaggressions,"Student activists demanded colleges make campuses more inclusive, and many universities are trying to do just that."
4,"Bracketology Instead of bracketing off college experience as foolishness, we should take what happens at college more seriously: we should condemn those who act stupidly, and we should aspire to the better world that students imagine as part of a higher education aimed at the public good.",Bracketology,"Instead of bracketing off college experience as foolishness, we should take what happens at college more seriously: we should condemn those who act stupidly, and we should aspire to the better world that students imagine as part of a higher education aimed at the public good."
5,"Austin Swift Just Got Cast In A Movie Written By A 'Pretty Little Liar' Taylor Swift's little brother will be in the movie with Tammin Sursok and ""Harry Potter"" star Tom Felton.",Austin Swift Just Got Cast In A Movie Written By A 'Pretty Little Liar',"Taylor Swift's little brother will be in the movie with Tammin Sursok and ""Harry Potter"" star Tom Felton."
5,"Matt Damon And Kim Kardashian Star In Ellen DeGeneres' 'Stuck On Uranus' Trailer ""Did somebody say, Uranus?""",Matt Damon And Kim Kardashian Star In Ellen DeGeneres' 'Stuck On Uranus' Trailer,"""Did somebody say, Uranus?"""
5,"Carrie Fisher, Mark Hamill & Harrison Ford Reunited At The 'Star Wars' Comic-Con Panel Although ""Star Wars: The Force Awakens"" director J.J. Abrams said the new trailer won't debut until the fall, a behind-the","Carrie Fisher, Mark Hamill & Harrison Ford Reunited At The 'Star Wars' Comic-Con Panel","Although ""Star Wars: The Force Awakens"" director J.J. Abrams said the new trailer won't debut until the fall, a behind-the"
6,"Climate Assessment Calls for Greenpeace Energy [R]evolution Climate impacts are happening now, whether it's constant extreme weather alerts, droughts and wildfires in the West, or the melting Arctic leading to an extremely snowy winter in the South. But climate denialism continues to grip leaders in Congress.",Climate Assessment Calls for Greenpeace Energy [R]evolution,"Climate impacts are happening now, whether it's constant extreme weather alerts, droughts and wildfires in the West, or the melting Arctic leading to an extremely snowy winter in the South. But climate denialism continues to grip leaders in Congress."
6,"Climate Change This Week: US Climate Report Card,  Climate Action Day  and More! How unusual has the weather been? No one event is ""caused"" by climate change, but global warming, which is predicted to increase unusual, extreme weather, is having a daily effect on weather, worldwide.","Climate Change This Week: US Climate Report Card,  Climate Action Day  and More!","How unusual has the weather been? No one event is ""caused"" by climate change, but global warming, which is predicted to increase unusual, extreme weather, is having a daily effect on weather, worldwide."
6,"Emperor Penguins Forced To Climb Cliffs To Breed As Climate Change Causes Sea Ice To Melt From Mother Nature Network's John Platt: When an animal species depends on sea ice for a good part of its life cycle, what",Emperor Penguins Forced To Climb Cliffs To Breed As Climate Change Causes Sea Ice To Melt,"From Mother Nature Network's John Platt: When an animal species depends on sea ice for a good part of its life cycle, what"
7,"Stress-Free Cooking With Wine: Simple Recipes With A Few Sips In Between (PHOTOS) 'I love to cook with wine, sometimes I even put it in the food.'",Stress-Free Cooking With Wine: Simple Recipes With A Few Sips In Between (PHOTOS),"'I love to cook with wine, sometimes I even put it in the food.'"
7,"Gooey, Sweet And Buttery Butterscotch Dessert Recipes (PHOTOS) Outrageously beautiful cakes, cupcakes, fudge recipes, sauces and more.","Gooey, Sweet And Buttery Butterscotch Dessert Recipes (PHOTOS)","Outrageously beautiful cakes, cupcakes, fudge recipes, sauces and more."
7,Recipe Of The Day: Chocolate-Bourbon Tart The best in chocolate desserts.,Recipe Of The Day: Chocolate-Bourbon Tart,The best in chocolate desserts.
8,"Why Is Nightlife So Important To The Queer Black And Latino Communities? ""I want to develop an authentic conversation of who we are as Blatino gay men.""",Why Is Nightlife So Important To The Queer Black And Latino Communities?,"""I want to develop an authentic conversation of who we are as Blatino gay men."""
8,"�Que Siga La Fiesta! My goal was to honor our brown and black migrant, queer, and trans community.",�Que Siga La Fiesta!,"My goal was to honor our brown and black migrant, queer, and trans community."
